Nomber,Name,Weight,Volume,Brand,Price,Min
6818833041,GASKET RUBBER SEAL,0.248,0.675,toyota,421.3,1
6818833060,"WEATHERSTRIP, DOOR GLASS",0.242,0.66,toyota,1307.12,1
6818842060,"WEATHERSTRIP, DOOR GLASS",0.141,0.384,toyota,755.35,1
6818842070,GASKET RUBBER SEAL,0.144,0.393,toyota,1054.03,1
6818848030,GASKET RUBBER SEAL,0.185,0.504,toyota,1553.14,1
6818852080,"WEATHERSTRIP, DOOR GLASS",0.226,0.615,toyota,1298.47,1
6818853040,"WEATHERSTRIP, DOOR ",0.151,0.411,toyota,843.38,1
6818860040,GASKET RUBBER SEAL,0.217,0.591,toyota,1658.46,1
6818860060,GASKET RUBBER SEAL,0.184,0.501,toyota,1050.1,1
6818860070,"WEATHERSTRIP, DOOR GLASS",0.212,0.579,toyota,1045.38,1
6818860080,GASKET RUBBER SEAL,0.234,0.639,toyota,1855.75,1
68188F4010,"WEATHERSTRIP, DOOR GLASS",0.154,0.42,toyota,653.17,1
6818902190,"WEATHERSTRIP, DOOR GLASS",0.21,0.573,toyota,1021.8,1
6818906130,"WEATHERSTRIP, DOOR GLASS",0.231,0.63,toyota,1024.16,1
681890D190,"WEATHERSTRIP, DOOR ",0.231,0.63,toyota,1041.45,1
681890D220,"WEATHERSTRIP, DOOR GLASS",0.211,0.576,toyota,1041.45,1
681890K060,GASKET RUBBER SEAL,0.271,0.738,toyota,818.23,1
681890K070,GASKET RUBBER SEAL,0.212,0.579,toyota,829.23,1
681890K111,GASKET RUBBER SEAL,0.41,1.119,toyota,1270.96,1
6818912330,GASKET RUBBER SEAL,0.157,0.429,toyota,828.44,1
6818930050,"WEATHERSTRIP, DOOR GLASS",0.173,0.471,toyota,1338.56,1
6818930181,"WEATHERSTRIP, DOOR GLASS",0.189,0.516,toyota,1425.8,1
6818933070,"WEATHERSTRIP, DOOR GLASS",0.16,0.435,toyota,1024.94,1
6818942060,"WEATHERSTRIP, DOOR GLASS",0.14,0.381,toyota,750.63,1
6818942070,"WEATHERSTRIP, DOOR GLASS",0.14,0.381,toyota,1236.38,1
6818948030,"WEATHERSTRIP, DOOR GLASS",0.189,0.516,toyota,1387.29,1
6818960040,"WEATHERSTRIP, DOOR GLASS",0.22,0.6,toyota,1649.81,1
6818960060,"WEATHERSTRIP, DOOR GLASS",0.183,0.498,toyota,1045.38,1
6818960070,"WEATHERSTRIP, DOOR GLASS",0.216,0.588,toyota,1047.74,1
6818960080,GASKET RUBBER SEAL,0.237,0.645,toyota,1857.32,1
68189F4010,"WEATHERSTRIP, DOOR GLASS",0.153,0.417,toyota,621.73,1
6819060011,"WEATHERSTRIP, DOOR GLASS",0.134,0.366,toyota,1241.09,1
6819060080,"WEATHERSTRIP, DOOR GLASS",0.155,0.423,toyota,1464.32,1
682100K040,"WEATHERSTRIP, DOOR GLASS",0.285,0.777,toyota,1640.38,1
682100K070,"MOULDING ASSY, WINDSHIELD",0.242,15.0,toyota,1410.08,1
682100K100,"WEATHERSTRIP, DOOR GLASS",0.308,0.84,toyota,1376.29,1
682100K120,"WEATHERSTRIP, DOOR GLASS",0.352,0.96,toyota,1374.71,1
6821052010,"WEATHERSTRIP, DOOR GLASS",0.275,0.75,toyota,1216.73,1
6821052080,"WEATHERSTRIP, DOOR GLASS",0.275,0.75,toyota,1442.31,1
6821052150,"WEATHERSTRIP, DOOR GLASS",0.161,0.438,toyota,1128.7,1
6821052181,"WEATHERSTRIP, DOOR GLASS",0.11,0.3,toyota,785.21,1
6821060020,"WEATHERSTRIP, DOOR GLASS",0.164,0.447,toyota,1079.96,1
6821090801,GASKET RUBBER SEAL,0.1,0.273,toyota,1368.43,1
6821090K00,"MOULDING ASSY, OUTSIDE",0.162,0.735,toyota,1145.99,1
6821090K01,"WEATHERSTRIP, DOOR GLASS",0.131,0.357,toyota,927.48,1
68210BZ030,"WEATHERSTRIP, DOOR GLASS",0.19,0.519,toyota,1178.21,1
6821110030,"CLIP, PLASTIC",0.004,0.012,toyota,78.6,1
6821112080,"CLIP, PLASTIC",0.002,0.006,toyota,68.38,1
6821130180,"CLIP, PLASTIC",0.001,0.003,toyota,71.53,1
6821160030,"CLIP, PLASTIC",0.002,0.006,toyota,118.69,1
6821190K00,"CLIP, PLASTIC",0.003,0.009,toyota,66.81,1
6821512010,"WEATHERSTRIP, DOOR GLASS",0.149,0.405,toyota,1450.96,1
6821526010,"WEATHERSTRIP, DOOR GLASS",0.263,0.717,toyota,2051.46,1
6821548030,"WEATHERSTRIP, DOOR GLASS",0.143,0.39,toyota,2264.47,1
6821595402,"WEATHERSTRIP, DOOR ",0.44,1.2,toyota,3601.45,1
6821612010,"WEATHERSTRIP, DOOR GLASS",0.151,0.411,toyota,1435.24,1
6821626010,"WEATHERSTRIP, DOOR GLASS",0.265,0.723,toyota,2097.83,1
6821648030,"WEATHERSTRIP, DOOR GLASS",0.145,0.396,toyota,2243.24,1
6821678020,"WEATHERSTRIP, DOOR GLASS",0.096,0.261,toyota,1560.21,1
6821736010,"CLIP, PLASTIC",0.004,0.012,toyota,11.79,1
6821736090,"CLIP, PLASTIC",0.006,0.015,toyota,14.93,1
682300D180,"WEATHERSTRIP, DOOR GLASS",0.11,0.3,toyota,1164.85,1
682300D430,"WEATHERSTRIP, DOOR GLASS",0.121,0.33,toyota,187.07,1
6823052130,"WEATHERSTRIP, DOOR GLASS",0.111,0.303,toyota,775.0,1
68230BZ030,"WEATHERSTRIP, DOOR ",0.001,0.003,toyota,1181.36,1
682750C040,GASKET RUBBER SEAL,1.1,3.0,toyota,4380.38,1
6828160010,GASKET RUBBER SEAL,0.27,0.735,toyota,2246.39,1
6828160020,GASKET RUBBER SEAL,0.282,0.768,toyota,5631.69,1
6828160030,GASKET RUBBER SEAL,0.237,0.645,toyota,2233.03,1
6828160050,GASKET RUBBER SEAL,0.259,0.705,toyota,2754.93,1
6829035012,"WEATHERSTRIP, DOOR GLASS",0.311,0.849,toyota,1527.98,1
6829035031,"MOULDING ASSY, PLASTIC",0.385,3.5,toyota,1881.68,1
6829160050,"WEATHERSTRIP, DOOR GLASS",1.206,3.288,toyota,5333.8,1
682940K010,"WEATHERSTRIP, DOOR GLASS",0.039,0.105,toyota,234.23,1
682940K020,GASKET RUBBER SEAL,0.036,0.099,toyota,473.96,1
682940K030,GASKET RUBBER SEAL,0.03,0.081,toyota,690.11,1
682940K040,GASKET RUBBER SEAL,0.001,0.003,toyota,238.94,1
