oem_field,brend_field,name_field,weight_field,volume_field
0K2FA34150,hyundai / kia,"LINK, STABILIZER",0.312,0.0
0K2FA34170,hyundai / kia,"LINK, STABILIZER",0.312,0.0
0K2FA43900A,hyundai / kia,"HOSE ASSY, WINDSHIELD WASHER",0.183,0.83
0K2FA50C10,hyundai / kia,"ACTUATOR ASSY, DOOR LOCK",0.063,0.0
0K2FA50C20,hyundai / kia,"ACTUATOR ASSY, DOOR LOCK",0.065,0.0
0K2FA56620,hyundai / kia,GASKET RUBBER SEAL,0.545,1.485
0K2FA56693,hyundai / kia,GASKET RUBBER SEAL,0.003,0.009
0K2FA56784,hyundai / kia,GASKET RUBBER SEAL,0.024,0.066
0K2FA58410XX,hyundai / kia,"WEATHERSTRIP, DOOR GLASS",0.22,0.6
0K2FA59410XX,hyundai / kia,"REGULATOR ASSY, DOOR WINDOW",0.27,0.0
0K2FA61450,hyundai / kia,"SENSOR ASSY, TEMPERATURE",7.535,20.55
0K2FA6837044,hyundai / kia,"BRACKET, REINFORCEMENT",0.097,0.0
0K2FA69470FC,hyundai / kia,"HANDLE, PLASTIC",0.099,0.0
0K2FA7256XA,hyundai / kia,"HANDLE, PLASTIC",1.452,0.0
0K2FB59410AXX,hyundai / kia,LOCK ASSY,0.271,0.0
0K2FB72410AXX,hyundai / kia,"HANDLE, PLASTIC",0.272,0.0
0K2FB73410AXX,hyundai / kia,"HANDLE, PLASTIC",0.233,0.0
0K2FC26641,hyundai / kia,GASKET RUBBER SEAL,0.009,0.024
0K2FD50220XX,hyundai / kia,BUMBER COVER ASSY ,3.876,25.0
0K2FT15908,hyundai / kia,RUBBER TUBE,0.084,0.38
0K2FY39060,hyundai / kia,"INSULATOR, GEARBOX",2.624,0.0
0K2JB28900B,hyundai / kia,SHOCK ABSORBER,4.51,0.0
0K2JT33047,hyundai / kia,"BEARING, HUB",1.035,0.0
0K2KB22530,hyundai / kia,"DUST BOOT, KIT AXLE JOINT",0.572,0.0
0K2KB2253X,hyundai / kia,"DUST BOOT, KIT AXLE JOINT",0.638,0.0
0K2KB28156,hyundai / kia,STABILIZER SHAFT ASSY,0.025,0.0
0K2KB32688,hyundai / kia,RUBBER TUBE,0.108,0.49
0K2KB34156A,hyundai / kia,SHOCK ABSORBER,0.033,0.0
0K2KD22520,hyundai / kia,"JOINT ASSY, DRIVE SHAFT",1.738,0.0
0K2N115185A,hyundai / kia,"BUSHING, RUBBER",0.286,0.0
0K2N122520,hyundai / kia,"DUST BOOT, SHOCK ABSORBER",2.138,0.0
0K2N139030,hyundai / kia,"INSULATOR, ENGINE MOUNTING",2.695,0.0
0K2N141660B,hyundai / kia,"HOSE ASSY, WINDSHIELD WASHER",0.132,0.6
0K2N143490C,hyundai / kia,"SENSOR ASSY, ABS",0.055,0.15
0K2N150220XX,hyundai / kia,"BUMPER, SUPPORT MOUNT  ",4.528,0.0
0K2N1509H0,hyundai / kia,"MOULDING ASSY, PLASTIC",0.11,1.0
0K2N161500,hyundai / kia,SWITCH ASSY,0.646,2.935
0K2N166480A,hyundai / kia,"BRACKET, RADIO RECEIVER",0.042,0.0
0K2N31320XA,hyundai / kia,RUBBER TUBE,1.21,5.5
0K2N334700F,hyundai / kia,SHOCK ABSORBER,2.735,0.0
0K2N334900F,hyundai / kia,SHOCK ABSORBER,1.621,0.0
0K2NA22520,hyundai / kia,"DUST BOOT, KIT AXLE JOINT",2.068,0.0
0K2NB22610,hyundai / kia,DRIVE SHAFT ASSY,4.411,0.0
0K2NC12121,hyundai / kia,"VALVE, EXHAUST",0.041,0.0
0K2NC22510A,hyundai / kia,"JOINT ASSY, DRIVE SHAFT",3.465,0.0
0K2NF28900B,hyundai / kia,SHOCK ABSORBER,5.941,0.0
0K2S150111,hyundai / kia,"BUMPER, SUPPORT MOUNT  ",0.011,0.0
0K2S150C20XX,hyundai / kia,"BUMPER, SUPPORT MOUNT  ",0.087,0.0
0K2S169120XX,hyundai / kia,OUTER MIRROR ASSY,1.32,0.0
0K2S369120XX,hyundai / kia,OUTER MIRROR ASSY,1.951,0.0
0K2SA40061,hyundai / kia,EXHAUST PIPE,0.066,8.0
0K2SA69120XX,hyundai / kia,OUTER MIRROR ASSY,1.32,0.0
0K2Y211SC0,hyundai / kia,CRANKSHAFT BEARINGS,0.11,0.0
0K2Y311SD0,hyundai / kia,"RING SET, PISTON",0.11,0.0
0K30A1335ZB,hyundai / kia,"FILTER ASSY, FUEL PUMP",1.451,0.0
0K30A15355,hyundai / kia,"RESERVOIR ASSY, WINDSHIELD",0.011,0.1
0K30A17640,hyundai / kia,"COVER ASSY, GEARBOX",0.044,0.0
0K30A3325Z,hyundai / kia,"KNUCKLE ASSY, STEERING",0.011,0.0
0K30A3325ZA,hyundai / kia,"KNUCKLE ASSY, STEERING",0.014,0.0
0K30A50060A,hyundai / kia,"MOULDING ASSY, PLASTIC",0.01,0.0
0K30A506R2BXX,hyundai / kia,"MOULDING ASSY, PLASTIC",0.2,0.0
0K30A50981B,hyundai / kia,"MOULDING ASSY, PLASTIC",0.003,0.0
0K30A58511,hyundai / kia,"CHECK ASSY, DOOR",3.003,0.0
0K30A59770B,hyundai / kia,"CHECK ASSY, DOOR",0.616,0.0
0K30A72410,hyundai / kia,"GUIDE RAIL, DOOR GLASS",0.119,0.0
0K30A72605,hyundai / kia,"GUIDE RAIL, DOOR GLASS",0.4,0.0
0K30A72760D,hyundai / kia,"GUIDE RAIL, DOOR GLASS",0.348,0.0
0K30A73511,hyundai / kia,GASKET RUBBER SEAL,2.31,6.3
0K30A73605,hyundai / kia,GASKET RUBBER SEAL,0.039,0.105
0K30A73661,hyundai / kia,GASKET RUBBER SEAL,0.411,1.122
0K30A73810B,hyundai / kia,GASKET RUBBER SEAL,0.241,0.657
0K30A76201A,hyundai / kia,CYLINDER LOCK,0.02,0.0
0K30B15320A,hyundai / kia,"SHROUD ASSY, FAN",0.172,15.0
0K30B22530,hyundai / kia,"DUST BOOT, KIT",0.479,0.0
0K30B22610,hyundai / kia,"DUST BOOT, KIT",2.888,0.0
0K30B32123,hyundai / kia,"BUSHING, RUBBER",0.033,0.0
0K30B34350B,hyundai / kia,SUSPENTION LINK,2.384,0.0
0K30C10271A,hyundai / kia,"HEAD ASSY, CYLINDER",0.088,0.0
0K30C12113,hyundai / kia,VALVE ROKER,0.022,0.0
0K30C13111C,hyundai / kia,"GASKET, WATER BY-PASS PAPER",0.011,0.03
0K30C15909C,hyundai / kia,FERROUS PIPE,0.088,15.0
0K30C61J20,hyundai / kia,"COVER ASSY, PLASTIC",0.013,0.06
0K30C66350,hyundai / kia,SWITCH ASSY,0.297,1.35
0K30D22510,hyundai / kia,"JOINT ASSY, DRIVE SHAFT",4.565,0.0
